"","name","par_strategy","nproc","time","generator","r","id","avg_card","date","duration","iteration","perc_minimal","size","size_minimal","mhspersec","totaltime"
"104","mhs","Random",5,4e+06,"mhs_random_5_4000000",50,2013829202.84,7.0178005461,11983,5.11357476,50.5,0.99059184673,316176.56,313342.599992895,12366.1655432608,25.5678738
"105","mhs","Random",5,8e+06,"mhs_random_5_8000000",50,2253932168.12,7.0483115441,11984,9.18525764,50.5,0.98144733489,325880.28,320129.170305963,7095.7243176469,45.9262882
"106","mhs","Random",6,1e+06,"mhs_random_6_1000000",50,2280923892.83,6.9992147636,11986,1.63800812,50.5,0.99599594474,185122.64,184379.619403019,18836.1540804409,9.82804872
"107","mhs","Random",6,1.6e+07,"mhs_random_6_16000000",50,2177682990.96,7.1068444349,11990,17.46986364,50.5,0.96389178575,407083.1,392912.570418347,3883.66988612244,104.81918184
"108","mhs","Random",6,2e+06,"mhs_random_6_2000000",50,2115710258,7.0031985522,11987,3.28974771,50.5,0.99492681205,354362.87,352586.110496558,17952.8898686682,19.73848626
"109","mhs","Random",6,4e+06,"mhs_random_6_4000000",50,2257922672.65,7.0165957164,11988,5.33907862,50.5,0.99112766267,370489.46,367327.050231389,11565.3369669491,32.03447172
"110","mhs","Random",6,8e+06,"mhs_random_6_8000000",50,2265877551.81,7.0456980853,11989,9.37684338,50.5,0.98238629939,381255.86,374870.630003269,6776.54950160139,56.26106028
"111","mhs","Random",7,1e+06,"mhs_random_7_1000000",50,2085461223.08,6.9992893074,11991,1.71777118,50.5,0.9958490872,194790.62,193987.409646606,16199.6147988531,12.02439826
"112","mhs","Random",7,1.6e+07,"mhs_random_7_16000000",50,2052947171.26,7.1054385423,11995,17.76318542,50.5,0.96405298172,476677.1,459954.111495548,3833.58766805175,124.34229794
"113","mhs","Random",7,2e+06,"mhs_random_7_2000000",50,2164662226.78,7.0037237693,11992,3.47256516,50.5,0.99469179213,417324.4,415126.070588765,17168.2225333884,24.30795612
"114","mhs","Random",7,4e+06,"mhs_random_7_4000000",50,1967970080.11,7.01667665,11993,5.51851276,50.5,0.9910004652,433425.96,429628.059850917,11220.050940992,38.62958932
"115","mhs","Random",7,8e+06,"mhs_random_7_8000000",50,2058391913.98,7.0461311005,11994,9.60724188,50.5,0.98216262278,447095.75,439376.400481263,6648.19541616157,67.25069316
"116","mhs","Random",8,1e+06,"mhs_random_8_1000000",50,2185291649.89,7.000450654,11996,1.83223842,50.5,0.99612401124,243175.9,242232.8602304,16590.0830198725,14.65790736
"117","mhs","Random",8,1.6e+07,"mhs_random_8_16000000",50,2026631794.88,7.1205463171,12000,17.85415893,50.5,0.96140777824,513547.84,494323.339528788,3595.43567701399,142.83327144
"118","mhs","Random",8,2e+06,"mhs_random_8_2000000",50,2346392210,7.0049289888,11997,3.59871636,50.5,0.99488254902,440663.66,438443.179660581,15306.2792367443,28.78973088
"119","mhs","Random",8,4e+06,"mhs_random_8_4000000",50,2025297378.33,7.0208239457,11998,5.63264202,50.5,0.99050344409,462269.23,458045.570668139,10258.7122605743,45.06113616
"120","mhs","Random",8,8e+06,"mhs_random_8_8000000",50,2228071832.92,7.0544061942,11999,9.73753188,50.5,0.9808196038,477935.4,469159.857754162,6135.22253238569,77.90025504
"121","mhs","Stride",1,1e+06,"mhs_stride_1_1000000",50,2269721583.33,6.9977099612,12001,1.11879134,50.5,0.99449725685,30301.76,30132.5899673573,27084.3712465633,1.11879134
"122","mhs","Stride",1,1.6e+07,"mhs_stride_1_16000000",50,2052071060.76,7.0779577881,12005,16.27390194,50.5,0.97031634865,81901.37,79648.4901330498,5032.68179333763,16.27390194
"123","mhs","Stride",1,2e+06,"mhs_stride_1_2000000",50,2372855880.07,7.0002531388,12002,2.34175689,50.5,0.9939497048,73565.58,73117.3799664987,31414.6956561319,2.34175689
"124","mhs","Stride",1,4e+06,"mhs_stride_1_4000000",50,2288062478.52,7.0114726874,12003,4.24195181,50.5,0.99061007143,76446.61,75775.4600801443,18021.5649361656,4.24195181
"125","mhs","Stride",1,8e+06,"mhs_stride_1_8000000",50,2302476243.48,7.0269954301,12004,8.35622013,50.5,0.98582594155,77551.65,76550.7900937062,9280.70931515778,8.35622013
"126","mhs","Stride",2,1e+06,"mhs_stride_2_1000000",50,2416561770.66,6.9978005693,12006,1.21178124,50.5,0.9948695946,56306.14,56012.6797931318,23232.7990157695,2.42356248
