"","id","avg_card","date","duration","generator","iteration","perc_minimal","size","r","size_minimal"
"216",559454486,9.03636074," 2014-Jun-04 06:04:46",71.299192,"mhs_stride_5",30,1,693887,25,693887
"217",562380034,9.2235775," 2014-Jun-04 03:47:42",60.935439,"mhs_stride_6",23,1,682286,25,682286
"218",563510927,8.82302094," 2014-Jun-04 23:09:33",46.76091,"mhs_stride_5",76,1,584144,25,584144
"219",564587200,9.2235775," 2014-Jun-04 03:41:44",172.323538,"mhs_stride_2",23,1,682286,25,682286
"220",568375261,9.0360918," 2014-Jun-04 13:48:46",297.380766,"mhs_stride_1",52,1,676854,25,676854
"221",568849256,9.0360918," 2014-Jun-04 13:34:39",282.634966,"mhs_random_1",52,1,676854,25,676854
"222",569510840,8.54617405," 2014-Jun-04 07:55:10",123.096772,"mhs_stride_2",34,1,742377,25,742377
"223",575440259,9.12094116," 2014-Jun-04 04:52:01",33.093632,"mhs_random_8",27,1,643398,25,643398
"224",575985709,8.6921711," 2014-Jun-04 05:22:06",37.462009,"mhs_stride_6",28,1,685972,25,685972
"225",576924875,8.6921711," 2014-Jun-04 05:23:28",29.419807,"mhs_stride_8",28,1,685972,25,685972
"226",577057710,8.98309326," 2014-Jun-05 05:35:55",37.263014,"mhs_random_3",97,1,479344,25,479344
"227",581835398,8.79912758," 2014-Jun-04 14:36:49",41.931692,"mhs_stride_2",54,1,401166,25,401166
"228",590111907,8.49604034," 2014-Jun-05 03:38:24",17.159144,"mhs_random_6",90,1,474913,25,474913
"229",593017656,8.4618206," 2014-Jun-04 16:12:18",29.707139,"mhs_stride_8",60,1,548546,25,548546
"230",594305185,9.47279644," 2014-Jun-03 22:14:47",185.00795,"mhs_random_1",7,1,676356,25,676356
"231",601729067,8.93907642," 2014-Jun-03 21:20:11",60.748703,"mhs_stride_2",3,1,499020,25,499020
"232",602465059,9.0360918," 2014-Jun-04 13:42:44",40.779161,"mhs_random_7",52,1,676854,25,676854
"233",604044730,9.47279644," 2014-Jun-03 22:21:49",31.151777,"mhs_random_8",7,1,676356,25,676356
